MotorPowerkW,MotorSpeed,PumpRate,TimePumpOn,CasingFriction
71.27,202,62.5,531.2,1447.86
71.16,202,61.7,534.4,1450.85
71.05,201,58.7,537.6,1450.05
70.93,201,58.7,540.8,1449.24
70.81,201,61.0,544.0,1447.14
70.69,201,59.7,547.2,1449.79
70.57,201,62.1,550.4,1451.86
70.44,201,60.0,553.6,1449.72
70.32,200,58.1,556.8,1451.41
70.19,200,60.2,560.0,1445.91
70.06,200,61.6,563.2,1448.0
69.93,200,60.8,566.4,1453.43
69.8,200,55.7,569.6,1447.52
69.68,200,58.8,572.8,1449.49
69.55,199,57.8,576.0,1451.07
69.43,199,63.9,579.2,1448.43
69.3,199,58.7,582.4,1450.3
69.18,199,60.2,585.6,1452.35
69.06,199,60.2,588.8,1450.43
68.94,199,59.5,592.0,1449.29
68.83,198,58.6,595.2,1446.28
68.72,198,62.2,598.4,1449.45
68.61,198,58.1,601.6,1449.86
68.51,198,62.0,604.8,1446.81
68.41,198,58.2,608.0,1447.26
68.32,198,59.8,611.2,1449.24
68.23,198,63.2,614.4,1448.53
68.15,197,60.5,617.6,1451.32
68.07,197,60.2,620.8,1451.47
67.99,197,60.6,624.0,1452.28
67.93,197,60.3,627.2,1452.21
67.87,197,61.4,630.4,1451.4
67.81,197,55.9,633.6,1453.26
67.76,197,60.2,636.8,1448.99
67.72,197,60.6,640.0,1452.46
67.68,197,60.1,643.2,1451.51
67.65,197,59.6,646.4,1446.38
67.63,197,61.2,649.6,1451.81
67.61,197,62.0,652.8,1451.94
67.6,197,57.0,656.0,1453.61
67.6,197,60.3,659.2,1450.81
67.6,197,58.6,662.4,1448.24
67.62,197,61.4,665.6,1451.85
67.63,197,61.0,668.8,1449.69
67.66,197,60.3,672.0,1451.41
67.69,197,61.6,675.2,1451.93
67.73,197,58.3,678.4,1449.68
67.77,197,60.1,681.6,1446.81
67.82,197,58.2,684.8,1448.01
67.88,197,62.3,688.0,1450.45
67.94,197,58.2,691.2,1449.18
68.01,197,59.4,694.4,1450.34
68.09,197,59.6,697.6,1450.81
68.17,198,61.6,700.8,1449.94
68.25,198,58.8,704.0,1450.26
68.34,198,60.2,707.2,1449.39
68.44,198,62.5,710.4,1449.22
68.53,198,59.1,713.6,1450.37
68.64,198,61.5,716.8,1448.09
68.75,198,60.8,720.0,1447.73
68.86,198,62.5,723.2,1448.45
68.97,199,62.5,726.4,1449.76
69.09,199,60.3,729.6,1452.38
69.21,199,58.6,732.8,1448.72
69.33,199,63.0,736.0,1452.65
69.45,199,59.6,739.2,1451.56
69.58,199,60.6,742.4,1450.82
69.71,200,59.3,745.6,1447.23
69.83,200,59.5,748.8,1448.39
69.96,200,60.3,752.0,1449.98
70.09,200,61.6,755.2,1451.44
70.22,200,60.2,758.4,1449.25
70.35,200,62.2,761.6,1450.47
70.47,201,63.4,764.8,1449.85
70.6,201,59.8,768.0,1448.38
70.72,201,60.2,771.2,1452.5
70.84,201,59.6,774.4,1446.57
70.96,201,60.9,777.6,1448.29
71.08,201,59.1,780.8,1446.94
71.19,202,60.2,784.0,1448.87
71.3,202,58.8,787.2,1450.47
71.4,202,59.4,790.4,1451.17
71.51,202,59.9,793.6,1451.94
71.6,202,60.6,796.8,1450.05
71.7,202,60.0,0.0,1450.29
71.79,202,59.1,3.2,1447.86
71.87,203,60.8,6.4,1448.52
71.95,203,58.7,9.6,1450.76
72.02,203,58.4,12.8,1452.26
72.08,203,58.5,16.0,1450.49
72.15,203,59.9,19.2,1448.59
72.2,203,57.8,22.4,1447.75
72.25,203,58.3,25.6,1454.77
72.29,203,59.8,28.8,1452.0
72.32,203,58.0,32.0,1454.59
72.35,203,60.1,35.2,1448.95
72.37,203,58.4,38.4,1452.46
72.39,203,62.9,41.6,1447.03
72.4,203,61.8,44.8,1449.17
72.4,203,60.8,48.0,1450.44
72.39,203,60.1,51.2,1449.36
72.38,203,60.1,54.4,1448.53
72.36,203,61.0,57.6,1450.39
72.34,203,58.5,60.8,1451.4
72.3,203,59.1,64.0,1451.43
72.27,203,61.1,67.2,1452.83
72.22,203,59.2,70.4,1452.08
72.17,203,58.3,73.6,1448.11
72.11,203,61.1,76.8,1448.66
72.05,203,60.6,80.0,1449.75
71.98,203,59.6,83.2,1448.38
71.9,203,57.5,86.4,1449.61
71.82,202,61.5,89.6,1451.79
71.73,202,61.5,92.8,1447.81
71.64,202,59.6,96.0,1448.62
71.55,202,60.2,99.2,1447.76
71.45,202,58.8,102.4,1452.17
71.34,202,58.7,105.6,1447.75
71.23,202,60.6,108.8,1450.87
71.12,202,61.0,112.0,1450.63
71.01,201,62.6,115.2,1449.92
70.89,201,60.6,118.4,1449.53
70.77,201,59.1,121.6,1449.68
70.65,201,61.4,124.8,1447.61
70.52,201,54.8,128.0,1446.47
70.4,201,60.1,131.2,1449.92
70.27,200,60.2,134.4,1449.48
70.14,200,62.4,137.6,1452.19
70.02,200,58.8,140.8,1451.1
69.89,200,60.4,144.0,1453.4
69.76,200,59.6,147.2,1451.84
69.63,200,61.1,150.4,1447.6
69.51,199,60.4,153.6,1448.92
69.38,199,60.6,156.8,1452.82
69.26,199,59.5,160.0,1450.43
69.14,199,62.0,163.2,1449.87
69.02,199,60.5,166.4,1447.68
68.9,199,60.8,169.6,1453.96
68.79,198,62.4,172.8,1451.04
68.68,198,59.7,176.0,1448.43
68.58,198,61.3,179.2,1451.74
68.48,198,64.1,182.4,1448.93
68.38,198,60.4,185.6,1447.8
68.29,198,59.8,188.8,1446.79
68.2,198,60.2,192.0,1449.6
68.12,197,58.8,195.2,1448.69
68.04,197,57.8,198.4,1449.41
67.97,197,62.2,201.6,1446.79
67.9,197,61.3,204.8,1447.29
67.84,197,61.2,208.0,1450.96
67.79,197,59.8,211.2,1447.04
67.74,197,56.5,214.4,1450.2
67.7,197,61.8,217.6,1449.67
67.67,197,57.6,220.8,1450.04
67.64,197,59.6,224.0,1451.41
67.62,197,58.6,227.2,1448.7
67.61,197,59.2,230.4,1450.36
67.6,197,58.6,233.6,1448.56
67.6,197,61.3,236.8,1448.63
67.61,197,59.1,240.0,1452.13
67.62,197,59.4,243.2,1451.81
67.64,197,60.7,246.4,1448.36
67.67,197,59.3,249.6,1445.97
67.7,197,59.6,252.8,1450.29
67.74,197,61.1,256.0,1449.1
67.79,197,59.8,259.2,1451.66
67.84,197,56.4,262.4,1448.3
67.9,197,59.5,265.6,1448.03
67.97,197,61.4,268.8,1449.43
68.04,197,60.4,272.0,1453.09
68.11,197,57.9,275.2,1450.51
68.19,198,57.3,278.4,1452.59
68.28,198,58.1,281.6,1451.35
68.37,198,59.1,284.8,1449.33
68.47,198,60.6,288.0,1449.8
68.57,198,62.0,291.2,1448.78
68.68,198,59.4,294.4,1452.89
68.78,198,60.5,297.6,1448.89
68.9,199,60.3,300.8,1450.69
69.01,199,59.7,304.0,1447.57
69.13,199,59.5,307.2,1450.31
69.25,199,60.5,310.4,1450.08
69.37,199,59.5,313.6,1450.36
69.5,199,59.9,316.8,1448.18
69.62,199,59.0,320.0,1447.8
69.75,200,59.1,323.2,1448.06
69.88,200,62.0,326.4,1447.06
70.01,200,59.9,329.6,1450.32
70.14,200,60.6,332.8,1451.44
70.26,200,63.2,336.0,1450.1
70.39,201,59.2,339.2,1451.34
70.52,201,61.1,342.4,1449.74
70.64,201,60.5,345.6,1449.63
70.76,201,59.4,348.8,1453.17
70.88,201,60.2,352.0,1450.54
71.0,201,58.4,355.2,1450.7
71.12,202,59.8,358.4,1453.02
71.23,202,62.3,361.6,1454.3
71.34,202,60.3,364.8,1451.77
71.44,202,60.6,368.0,1449.63
71.54,202,59.6,371.2,1451.52
71.64,202,61.1,374.4,1450.81
71.73,202,61.0,377.6,1448.68
71.82,202,59.9,380.8,1446.73
71.9,203,62.6,384.0,1449.84
71.97,203,58.9,387.2,1450.94
72.04,203,61.6,390.4,1450.67
72.11,203,58.3,393.6,1448.97
72.17,203,59.6,396.8,1449.97
72.22,203,61.5,400.0,1449.13
72.26,203,60.1,403.2,1451.63
72.3,203,59.7,406.4,1449.31
72.34,203,58.5,409.6,1451.76
72.36,203,60.1,412.8,1451.5
72.38,203,59.2,416.0,1449.66
72.39,203,59.0,419.2,1448.34
72.4,203,62.5,422.4,1449.09
72.4,203,58.5,425.6,1449.56
72.39,203,59.6,428.8,1449.46
72.38,203,60.3,432.0,1449.43
72.35,203,58.2,435.2,1448.07
72.33,203,60.1,438.4,1448.4
72.29,203,60.6,441.6,1448.16
72.25,203,60.8,444.8,1447.65
72.2,203,58.6,448.0,1450.73
72.15,203,61.3,451.2,1452.22
72.09,203,62.4,454.4,1452.47
72.02,203,58.6,457.6,1453.59
71.95,203,57.9,460.8,1450.33
71.87,203,58.7,464.0,1452.36
71.79,202,60.4,467.2,1454.73
71.7,202,59.5,470.4,1450.79
71.61,202,59.8,473.6,1445.57
71.51,202,61.1,476.8,1450.23
71.41,202,60.4,480.0,1453.48
71.31,202,57.9,483.2,1450.63
71.2,202,60.8,486.4,1449.67
71.08,201,60.0,489.6,1450.48
70.97,201,59.2,492.8,1447.48
70.85,201,59.8,496.0,1449.95
70.73,201,59.9,499.2,1451.55
70.6,201,58.8,502.4,1451.94
70.48,201,60.2,505.6,1450.49
70.35,200,60.5,508.8,1448.22
70.23,200,61.9,512.0,1448.73
70.1,200,59.4,515.2,1449.16
69.97,200,60.7,518.4,1453.24
69.84,200,61.2,521.6,1449.0
69.71,200,59.2,524.8,1450.95
69.59,199,58.7,528.0,1448.93
69.46,199,60.7,531.2,1450.65
69.34,199,61.5,534.4,1451.18
69.22,199,59.5,537.6,1452.81
69.1,199,60.2,540.8,1450.87
68.98,199,59.3,544.0,1449.58
68.86,198,59.3,547.2,1447.64
68.75,198,60.0,550.4,1450.13
68.64,198,60.8,553.6,1451.35
68.54,198,61.0,556.8,1448.12
68.44,198,59.5,560.0,1449.62
68.35,198,60.1,563.2,1450.9
68.26,198,60.5,566.4,1450.62
68.17,198,60.5,569.6,1452.97
68.09,197,59.4,572.8,1451.08
68.02,197,60.4,576.0,1452.3
67.95,197,57.4,579.2,1452.86
67.88,197,60.1,582.4,1448.25
67.83,197,60.9,585.6,1449.59
67.77,197,60.5,588.8,1448.54
67.73,197,57.5,592.0,1449.8
67.69,197,60.4,595.2,1450.77
67.66,197,60.5,598.4,1450.05
67.63,197,57.7,601.6,1449.93
67.62,197,61.1,604.8,1450.06
67.6,197,60.8,608.0,1452.01
67.6,197,58.7,611.2,1447.79
67.6,197,57.9,614.4,1452.38
67.61,197,61.4,617.6,1450.33
67.63,197,62.9,620.8,1450.65
67.65,197,57.6,624.0,1449.5
67.68,197,58.9,627.2,1451.0
67.72,197,60.3,630.4,1451.04
67.76,197,59.8,633.6,1452.61
67.81,197,58.3,636.8,1449.62
67.86,197,62.0,640.0,1449.82
67.92,197,58.9,643.2,1449.12
67.99,197,59.9,646.4,1448.6
68.06,197,60.3,649.6,1447.6
68.14,197,60.1,652.8,1446.64
68.22,198,58.2,656.0,1451.91
68.31,198,59.6,659.2,1455.21
68.41,198,62.7,662.4,1453.57
68.51,198,58.6,665.6,1448.64
68.61,198,60.6,668.8,1449.17
68.71,198,61.6,672.0,1447.8
68.82,198,59.7,675.2,1447.51
68.94,199,58.1,678.4,1450.24
69.05,199,58.3,681.6,1449.83
69.17,199,62.5,684.8,1448.62
69.29,199,58.1,688.0,1453.95
69.42,199,57.1,691.2,1449.61
69.54,199,61.8,694.4,1449.52
69.67,200,59.7,697.6,1448.96
69.8,200,62.8,700.8,1451.39
69.92,200,60.7,704.0,1451.87
70.05,200,61.2,707.2,1447.12
70.18,200,56.8,710.4,1451.84
70.31,200,58.6,713.6,1450.04
70.43,201,60.2,716.8,1451.06
70.56,201,63.2,720.0,1451.13
70.68,201,58.9,723.2,1451.67
70.81,201,61.1,726.4,1450.78
70.93,201,60.2,729.6,1448.4
71.04,201,58.1,732.8,1445.85
71.16,202,62.7,736.0,1449.04
71.27,202,61.7,739.2,1448.12
71.37,202,58.7,742.4,1447.75
71.48,202,61.2,745.6,1450.21
71.58,202,59.5,748.8,1447.58
71.67,202,58.7,752.0,1450.27
71.76,202,59.6,755.2,1451.57
71.84,202,60.1,758.4,1450.3
71.92,203,60.6,761.6,1451.05
72.0,203,59.2,764.8,1449.21
72.07,203,59.2,768.0,1448.84
72.13,203,60.5,771.2,1450.05
72.18,203,59.1,774.4,1448.26
72.23,203,60.5,777.6,1451.44
72.28,203,59.4,780.8,1453.78
72.31,203,58.3,784.0,1449.69
72.35,203,61.3,787.2,1447.93
72.37,203,60.4,790.4,1448.27
72.39,203,59.2,793.6,1448.66
72.4,203,59.0,796.8,1448.49
72.4,203,60.2,0.0,1445.05
72.4,203,59.5,3.2,1450.36
72.39,203,61.0,6.4,1451.14
72.37,203,59.9,9.6,1449.3
72.35,203,57.9,12.8,1451.07
72.31,203,59.9,16.0,1449.08
72.28,203,59.8,19.2,1449.56
72.23,203,58.7,22.4,1449.36
72.18,203,60.1,25.6,1450.4
72.13,203,59.8,28.8,1448.89
72.07,203,58.8,32.0,1448.31
72.0,203,59.2,35.2,1449.28
71.92,203,61.1,38.4,1449.43
71.84,202,59.2,41.6,1451.64
71.76,202,56.0,44.8,1450.88
71.67,202,58.7,48.0,1449.49
71.58,202,60.3,51.2,1451.19
71.48,202,59.2,54.4,1447.95
71.37,202,57.0,57.6,1449.34
71.27,202,59.4,60.8,1450.74
71.16,202,59.3,64.0,1445.28
71.04,201,59.9,67.2,1448.41
70.93,201,64.3,70.4,1448.78
70.81,201,58.3,73.6,1449.26
70.68,201,58.2,76.8,1451.03
70.56,201,57.7,80.0,1448.57
70.43,201,59.7,83.2,1449.83
70.31,200,59.2,86.4,1453.66
70.18,200,58.5,89.6,1449.31
70.05,200,60.8,92.8,1451.02
69.92,200,62.1,96.0,1449.55
69.8,200,60.3,99.2,1450.82
69.67,200,58.5,102.4,1449.29
69.54,199,61.0,105.6,1445.54
69.42,199,62.3,108.8,1451.69
69.29,199,59.2,112.0,1451.86
69.17,199,58.5,115.2,1450.76
69.05,199,59.9,118.4,1450.21
68.94,199,62.6,121.6,1451.92
68.82,198,59.7,124.8,1451.77
68.71,198,59.4,128.0,1448.21
68.61,198,62.4,131.2,1449.32
68.51,198,62.6,134.4,1452.18
68.41,198,60.7,137.6,1449.26
68.31,198,61.3,140.8,1448.21
68.22,198,60.6,144.0,1449.58
68.14,197,60.4,147.2,1445.73
68.06,197,59.1,150.4,1450.35
67.99,197,57.6,153.6,1448.72
67.92,197,60.5,156.8,1449.69
67.86,197,59.7,160.0,1447.99
67.81,197,60.2,163.2,1450.26
67.76,197,60.6,166.4,1449.98
67.72,197,58.8,169.6,1448.83
67.68,197,61.4,172.8,1450.12
67.65,197,59.5,176.0,1450.52
67.63,197,59.7,179.2,1451.44
67.61,197,58.7,182.4,1449.03
67.6,197,60.6,185.6,1448.62
67.6,197,62.8,188.8,1449.87
67.6,197,60.8,192.0,1445.56
67.62,197,57.6,195.2,1450.12
67.63,197,60.4,198.4,1450.19
67.66,197,61.5,201.6,1451.27
67.69,197,60.9,204.8,1447.09
67.73,197,60.1,208.0,1450.79
67.77,197,60.8,211.2,1449.24
67.83,197,62.7,214.4,1450.06
67.88,197,61.0,217.6,1452.76
67.95,197,57.8,220.8,1449.3
68.02,197,58.8,224.0,1448.35
68.09,197,59.6,227.2,1449.39
68.17,198,59.1,230.4,1449.54
68.26,198,61.0,233.6,1448.62
68.35,198,61.7,236.8,1450.65
68.44,198,57.4,240.0,1449.42
68.54,198,61.0,243.2,1450.71
68.64,198,61.3,246.4,1451.08
68.75,198,58.6,249.6,1450.05
68.86,198,61.6,252.8,1450.82
68.98,199,59.2,256.0,1448.01
69.1,199,56.6,259.2,1447.87
69.22,199,59.2,262.4,1453.0
69.34,199,59.7,265.6,1446.99
69.46,199,58.9,268.8,1449.59
69.59,199,59.0,272.0,1450.76
69.71,200,56.9,275.2,1448.75
69.84,200,58.7,278.4,1449.82
69.97,200,63.6,281.6,1451.8
70.1,200,62.1,284.8,1452.63
70.23,200,58.7,288.0,1452.46
70.35,200,60.6,291.2,1450.49
70.48,201,60.9,294.4,1453.09
70.6,201,63.3,297.6,1446.67
70.73,201,60.7,300.8,1447.97
70.85,201,63.6,304.0,1455.4
70.97,201,58.8,307.2,1451.67
71.08,201,57.5,310.4,1452.53
71.2,202,60.9,313.6,1449.59
71.31,202,60.6,316.8,1448.17
71.41,202,59.5,320.0,1453.57
71.51,202,59.7,323.2,1450.33
71.61,202,58.0,326.4,1448.44
71.7,202,60.9,329.6,1450.58
71.79,202,58.8,332.8,1450.31
71.87,203,59.4,336.0,1447.43
71.95,203,60.8,339.2,1451.31
72.02,203,59.4,342.4,1449.74
72.09,203,60.5,345.6,1448.68
72.15,203,61.3,348.8,1448.98
72.2,203,61.5,352.0,1449.25
72.25,203,59.4,355.2,1451.72
72.29,203,61.5,358.4,1449.69
72.33,203,60.1,361.6,1451.74
72.35,203,60.4,364.8,1450.57
72.38,203,59.3,368.0,1448.73
72.39,203,61.4,371.2,1449.55
72.4,203,60.8,374.4,1446.39
72.4,203,60.4,377.6,1452.45
72.39,203,61.0,380.8,1449.54
72.38,203,58.1,384.0,1449.75
72.36,203,62.1,387.2,1448.99
72.34,203,59.8,390.4,1449.24
72.3,203,58.6,393.6,1447.87
72.26,203,58.3,396.8,1449.42
72.22,203,61.4,400.0,1448.88
72.17,203,59.3,403.2,1449.88
72.11,203,58.6,406.4,1452.68
72.04,203,57.7,409.6,1450.62
71.97,203,55.8,412.8,1451.36
71.9,203,58.4,416.0,1448.56
71.82,202,59.0,419.2,1451.63
71.73,202,60.9,422.4,1452.45
71.64,202,59.4,425.6,1449.35
71.54,202,60.4,428.8,1451.59
71.44,202,60.9,432.0,1449.7
71.34,202,60.6,435.2,1452.78
71.23,202,62.0,438.4,1450.62
71.12,202,61.9,441.6,1448.12
71.0,201,61.2,444.8,1450.39
70.88,201,60.7,448.0,1450.1
70.76,201,59.2,451.2,1451.11
70.64,201,60.5,454.4,1448.59
70.52,201,60.9,457.6,1450.7
70.39,201,60.4,460.8,1452.5
70.26,200,58.2,464.0,1448.79
70.14,200,59.3,467.2,1449.32
70.01,200,59.2,470.4,1449.71
69.88,200,61.6,473.6,1452.45
69.75,200,60.4,476.8,1451.35
69.62,199,58.9,480.0,1449.14
69.5,199,60.3,483.2,1448.83
69.37,199,58.0,486.4,1447.69
69.25,199,57.5,489.6,1448.63
69.13,199,58.8,492.8,1451.22
69.01,199,61.1,496.0,1449.7
68.9,199,57.5,499.2,1454.36
68.78,198,58.7,502.4,1448.07
68.68,198,57.7,505.6,1452.0
68.57,198,60.5,508.8,1449.56
68.47,198,57.2,512.0,1450.37
68.37,198,61.0,515.2,1451.33
68.28,198,59.5,518.4,1449.73
68.19,198,58.9,521.6,1449.37
68.11,197,60.7,524.8,1447.77
68.04,197,59.9,528.0,1446.67
67.97,197,60.2,531.2,1450.92
67.9,197,60.9,534.4,1451.67
67.84,197,61.4,537.6,1450.89
67.79,197,59.1,540.8,1450.41
67.74,197,59.8,544.0,1446.57
67.7,197,60.8,547.2,1447.01
67.67,197,57.9,550.4,1449.02
67.64,197,61.2,553.6,1450.25
67.62,197,59.5,556.8,1449.48
67.61,197,60.4,560.0,1448.56
67.6,197,57.7,563.2,1452.43
67.6,197,60.0,566.4,1448.52
67.61,197,60.5,569.6,1447.58
67.62,197,59.1,572.8,1451.45
67.64,197,57.8,576.0,1450.36
67.67,197,59.2,579.2,1454.07
67.7,197,60.4,582.4,1447.75
67.74,197,58.1,585.6,1450.33
67.79,197,60.9,588.8,1450.05
67.84,197,60.3,592.0,1451.28
67.9,197,58.7,595.2,1451.34
67.97,197,59.3,598.4,1452.49
68.04,197,61.1,601.6,1448.97
68.12,197,59.4,604.8,1450.53
68.2,198,62.4,608.0,1451.74
68.29,198,58.3,611.2,1450.09
68.38,198,60.4,614.4,1449.52
68.48,198,60.7,617.6,1450.95
68.58,198,57.8,620.8,1453.18
68.68,198,59.8,624.0,1450.84
68.79,198,59.4,627.2,1451.02
68.9,199,58.7,630.4,1451.41
69.02,199,59.5,633.6,1448.15
69.14,199,62.9,636.8,1448.07
69.26,199,57.7,640.0,1449.73
69.38,199,59.2,643.2,1452.35
69.51,199,56.8,646.4,1451.19
69.63,200,60.3,649.6,1447.98
69.76,200,61.8,652.8,1449.88
69.89,200,61.2,656.0,1452.3
70.02,200,60.7,659.2,1448.33
70.14,200,60.6,662.4,1453.02
70.27,200,60.1,665.6,1451.11
70.4,201,61.3,668.8,1450.74
70.52,201,61.5,672.0,1449.07
70.65,201,59.7,675.2,1449.01
70.77,201,59.0,678.4,1452.38
70.89,201,59.5,681.6,1448.16
71.01,201,57.2,684.8,1447.66
71.12,202,60.3,688.0,1447.82
71.23,202,57.5,691.2,1454.78
71.34,202,61.1,694.4,1452.42
71.45,202,59.3,697.6,1446.38
71.55,202,58.7,700.8,1445.94
71.64,202,58.6,704.0,1452.42
71.73,202,62.7,707.2,1448.52
71.82,202,60.1,710.4,1451.28
71.9,203,61.6,713.6,1449.52
71.98,203,61.3,716.8,1448.68
72.05,203,60.1,720.0,1448.57
72.11,203,57.9,723.2,1449.81
72.17,203,61.5,726.4,1452.51
72.22,203,60.5,729.6,1451.12
72.27,203,58.0,732.8,1447.22
72.3,203,59.8,736.0,1450.19
72.34,203,61.7,739.2,1448.46
